Nº de Caso;CAVD;Expedientes;Fecha Ingreso;Mes Ingreso;Año Ingreso;Fecha de Delito;Año de Delito;Mes de Delito;Comuna Delito;Fecha de Finalización;Año de Finalización;Mes de Finalización;Región Delito;Año Reporte
CBQA0342;01 Arica;CBQA0342, ;02-12-2016;12;2016;28-11-2016 0:00;2016;11;Arica;17-12-2016;2016;12;XV Región de Arica y Parinacota;2016
CBQA0343;01 Arica;NULL;05-12-2016;12;2016;03-12-2016 0:00;2016;12;Arica;20-12-2016;2016;12;XV Región de Arica y Parinacota;2016
CBQA0344;01 Arica;NULL;13-12-2016;12;2016;11-12-2016 0:00;2016;12;Arica;28-12-2016;2016;12;XV Región de Arica y Parinacota;2016
CBQA0345;01 Arica;NULL;15-12-2016;12;2016;No definido;No definido;No definido;Arica;30-12-2016;2016;12;XV Región de Arica y Parinacota;2016
CBQA0346;01 Arica;NULL;19-12-2016;12;2016;10-12-2016 0:00;2016;12;Arica;03-01-2017;2017;1;XV Región de Arica y Parinacota;2016
CBQA0347;01 Arica;CBQA0347, ;21-12-2016;12;2016;No definido;No definido;No definido;Arica;07-02-2017;2017;2;XV Región de Arica y Parinacota;2016
CBQA0348;01 Arica;NULL;21-12-2016;12;2016;No definido;No definido;No definido;Arica;05-01-2017;2017;1;XV Región de Arica y Parinacota;2016
CBQA0349;01 Arica;CBQA0349, ;22-12-2016;12;2016;No definido;No definido;No definido;Arica;06-01-2017;2017;1;XV Región de Arica y Parinacota;2016
CBQA0350;01 Arica;NULL;03-01-2017;1;2017;No definido;No definido;No definido;Arica;18-01-2017;2017;1;XV Región de Arica y Parinacota;2017
CBQA0351;01 Arica;CBQA0351, ;04-01-2017;1;2017;01-01-2017 0:00;2017;1;Arica;19-01-2017;2017;1;XV Región de Arica y Parinacota;2017
CBQA0352;01 Arica;CBQA0352, ;10-01-2017;1;2017;05-01-2017 0:00;2017;1;Arica;25-01-2017;2017;1;XV Región de Arica y Parinacota;2017
CBQA0353;01 Arica;CBQA0353, ;10-01-2017;1;2017;08-01-2017 0:00;2017;1;Arica;09-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0354;01 Arica;NULL;10-01-2017;1;2017;08-01-2017 0:00;2017;1;Arica;25-01-2017;2017;1;XV Región de Arica y Parinacota;2017
CBQA0355;01 Arica;NULL;11-01-2017;1;2017;No definido;No definido;No definido;Arica;07-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0356;01 Arica;CBQA0356, ;12-01-2017;1;2017;No definido;No definido;No definido;Arica;09-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0357;01 Arica;NULL;12-01-2017;1;2017;No definido;No definido;No definido;Arica;07-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0358;01 Arica;CBQA0358, ;16-01-2017;1;2017;14-01-2017 0:00;2017;1;Arica;09-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0359;01 Arica;NULL;24-01-2017;1;2017;18-01-2017 0:00;2017;1;Arica;08-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0360;01 Arica;NULL;24-01-2017;1;2017;23-01-2017 0:00;2017;1;Arica;07-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0361;01 Arica;NULL;25-01-2017;1;2017;No definido;No definido;No definido;Arica;09-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0362;01 Arica;CBQA0362, ;26-01-2017;1;2017;23-01-2017 0:00;2017;1;Arica;09-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0363;01 Arica;CBQA0363, ;26-01-2017;1;2017;25-01-2017 0:00;2017;1;Arica;09-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0364;01 Arica;CBQA0364, ;02-02-2017;2;2017;01-02-2017 0:00;2017;2;Arica;17-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0365;01 Arica;NULL;06-02-2017;2;2017;No definido;No definido;No definido;Arica;07-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0366;01 Arica;NULL;06-02-2017;2;2017;02-02-2017 0:00;2017;2;Arica;23-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0367;01 Arica;NULL;06-02-2017;2;2017;04-02-2017 0:00;2017;2;Arica;23-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0368;01 Arica;NULL;07-02-2017;2;2017;No definido;No definido;No definido;Arica;23-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0369;01 Arica;CBQA0369, ;07-02-2017;2;2017;04-02-2017 0:00;2017;2;Arica;17-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0370;01 Arica;CBQA0370, ;08-02-2017;2;2017;No definido;No definido;No definido;Arica;14-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0371;01 Arica;CBQA0371, ;09-02-2017;2;2017;No definido;No definido;No definido;Arica;14-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0372;01 Arica;CBQA0372, ;10-02-2017;2;2017;08-02-2017 0:00;2017;2;Arica;20-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0373;01 Arica;NULL;13-02-2017;2;2017;No definido;No definido;No definido;Arica;20-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0374;01 Arica;CBQA0374, ;14-02-2017;2;2017;12-02-2017 0:00;2017;2;Arica;20-02-2017;2017;2;XV Región de Arica y Parinacota;2017
CBQA0375;01 Arica;NULL;21-02-2017;2;2017;No definido;No definido;No definido;Arica;21-03-2017;2017;3;XV Región de Arica y Parinacota;2017
CBQA0376;01 Arica;NULL;21-02-2017;2;2017;No definido;No definido;No definido;Arica;21-03-2017;2017;3;XV Región de Arica y Parinacota;2017
CBQA0377;01 Arica;CBQA0377, ;23-02-2017;2;2017;22-02-2017 0:00;2017;2;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0378;01 Arica;CBQA0378, ;23-02-2017;2;2017;22-02-2017 0:00;2017;2;Arica;14-03-2017;2017;3;XV Región de Arica y Parinacota;2017
CBQA0379;01 Arica;NULL;27-02-2017;2;2017;No definido;No definido;No definido;Arica;03-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0380;01 Arica;CBQA0380, ;27-02-2017;2;2017;No definido;No definido;No definido;Arica;14-03-2017;2017;3;XV Región de Arica y Parinacota;2017
CBQA0381;01 Arica;NULL;27-02-2017;2;2017;22-02-2017 0:00;2017;2;Arica;21-03-2017;2017;3;XV Región de Arica y Parinacota;2017
CBQA0382;01 Arica;NULL;02-03-2017;3;2017;27-02-2017 0:00;2017;2;Arica;21-03-2017;2017;3;XV Región de Arica y Parinacota;2017
CBQA0383;01 Arica;CBQA0383, ;10-03-2017;3;2017;04-03-2017 0:00;2017;3;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0384;01 Arica;NULL;10-03-2017;3;2017;No definido;No definido;No definido;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0385;01 Arica;CBQA0385, ;10-03-2017;3;2017;No definido;No definido;No definido;Arica;04-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0386;01 Arica;NULL;10-03-2017;3;2017;No definido;No definido;No definido;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0387;01 Arica;CBQA0387, ;10-03-2017;3;2017;06-03-2017 0:00;2017;3;Arica;04-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0388;01 Arica;NULL;10-03-2017;3;2017;07-03-2017 0:00;2017;3;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0389;01 Arica;NULL;10-03-2017;3;2017;No definido;No definido;No definido;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0390;01 Arica;CBQA0390, ;10-03-2017;3;2017;09-03-2017 0:00;2017;3;Arica;06-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0391;01 Arica;CBQA0391, ;14-03-2017;3;2017;10-03-2017 0:00;2017;3;Arica;06-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0392;01 Arica;NULL;14-03-2017;3;2017;No definido;No definido;No definido;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0393;01 Arica;NULL;14-03-2017;3;2017;No definido;No definido;No definido;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0394;01 Arica;NULL;14-03-2017;3;2017;No definido;No definido;No definido;Arica;03-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0395;01 Arica;CBQA0395, ;16-03-2017;3;2017;No definido;No definido;No definido;Arica;06-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0396;01 Arica;NULL;20-03-2017;3;2017;18-03-2017 0:00;2017;3;Arica;12-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0397;01 Arica;CBQA0397, ;21-03-2017;3;2017;20-03-2017 0:00;2017;3;Arica;06-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0398;01 Arica;NULL;03-04-2017;4;2017;No definido;No definido;No definido;Arica;03-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0399;01 Arica;CBQA0399, ;03-04-2017;4;2017;No definido;No definido;No definido;Arica;18-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0400;01 Arica;CBQA0400, ;03-04-2017;4;2017;25-03-2017 0:00;2017;3;Arica;24-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0401;01 Arica;NULL;03-04-2017;4;2017;25-03-2017 0:00;2017;3;Arica;17-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0402;01 Arica;CBQA0402, ;03-04-2017;4;2017;No definido;No definido;No definido;Arica;18-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0403;01 Arica;NULL;03-04-2017;4;2017;02-04-2017 0:00;2017;4;Arica;03-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0404;01 Arica;NULL;11-04-2017;4;2017;02-04-2017 0:00;2017;4;Arica;18-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0405;01 Arica;NULL;11-04-2017;4;2017;05-04-2017 0:00;2017;4;Arica;04-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0406;01 Arica;NULL;11-04-2017;4;2017;06-04-2017 0:00;2017;4;Arica;04-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0407;01 Arica;NULL;11-04-2017;4;2017;No definido;No definido;No definido;Arica;17-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0408;01 Arica;CBQA0408, ;11-04-2017;4;2017;09-04-2017 0:00;2017;4;Arica;18-04-2017;2017;4;XV Región de Arica y Parinacota;2017
CBQA0409;01 Arica;NULL;17-04-2017;4;2017;07-04-2017 0:00;2017;4;Arica;04-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0410;01 Arica;CBQA0410, ;17-04-2017;4;2017;No definido;No definido;No definido;Arica;12-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0411;01 Arica;NULL;17-04-2017;4;2017;No definido;No definido;No definido;Arica;16-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0412;01 Arica;CBQA0412, ;17-04-2017;4;2017;16-04-2017 0:00;2017;4;Arica;22-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0413;01 Arica;NULL;02-05-2017;5;2017;21-04-2017 0:00;2017;4;Arica;10-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0414;01 Arica;NULL;02-05-2017;5;2017;25-04-2017 0:00;2017;4;Arica;10-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0415;01 Arica;CBQA0415, ;02-05-2017;5;2017;No definido;No definido;No definido;Arica;24-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0416;01 Arica;NULL;03-05-2017;5;2017;No definido;No definido;No definido;Arica;10-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0417;01 Arica;NULL;03-05-2017;5;2017;01-05-2017 0:00;2017;5;Arica;10-05-2017;2017;5;XV Región de Arica y Parinacota;2017
CBQA0418;01 Arica;CBQA0418, ;16-05-2017;5;2017;No definido;No definido;No definido;Arica;05-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0419;01 Arica;CBQA0419, ;16-05-2017;5;2017;01-05-2017 0:00;2017;5;Arica;06-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0420;01 Arica;CBQA0420, ;16-05-2017;5;2017;No definido;No definido;No definido;Arica;08-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0421;01 Arica;CBQA0421, ;16-05-2017;5;2017;04-05-2017 0:00;2017;5;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0422;01 Arica;CBQA0422, ;16-05-2017;5;2017;04-05-2017 0:00;2017;5;Arica;08-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0423;01 Arica;NULL;16-05-2017;5;2017;04-05-2017 0:00;2017;5;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0424;01 Arica;CBQA0424, ;16-05-2017;5;2017;No definido;No definido;No definido;Arica;16-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0425;01 Arica;NULL;16-05-2017;5;2017;09-05-2017 0:00;2017;5;Arica;02-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0426;01 Arica;CBQA0426, ;16-05-2017;5;2017;13-05-2017 0:00;2017;5;Arica;09-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0427;01 Arica;CBQA0427, ;16-05-2017;5;2017;15-05-2017 0:00;2017;5;Arica;16-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0428;01 Arica;NULL;24-05-2017;5;2017;16-05-2017 0:00;2017;5;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0429;01 Arica;CBQA0429, ;24-05-2017;5;2017;No definido;No definido;No definido;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0430;01 Arica;CBQA0430, ;24-05-2017;5;2017;No definido;No definido;No definido;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0431;01 Arica;NULL;24-05-2017;5;2017;18-05-2017 0:00;2017;5;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0432;01 Arica;NULL;24-05-2017;5;2017;No definido;No definido;No definido;Arica;13-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0433;01 Arica;NULL;24-05-2017;5;2017;No definido;No definido;No definido;Arica;02-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0434;01 Arica;CBQA0434, ;24-05-2017;5;2017;No definido;No definido;No definido;Arica;16-06-2017;2017;6;XV Región de Arica y Parinacota;2017
CBQA0435;01 Arica;NULL;16-06-2017;6;2017;No definido;No definido;No definido;Arica;14-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0436;01 Arica;NULL;16-06-2017;6;2017;25-05-2017 0:00;2017;5;Arica;14-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0437;01 Arica;NULL;16-06-2017;6;2017;No definido;No definido;No definido;Arica;19-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0438;01 Arica;NULL;16-06-2017;6;2017;28-05-2017 0:00;2017;5;Arica;19-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0439;01 Arica;NULL;16-06-2017;6;2017;04-06-2017 0:00;2017;6;Arica;19-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0440;01 Arica;NULL;16-06-2017;6;2017;06-06-2017 0:00;2017;6;Arica;19-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0441;01 Arica;NULL;16-06-2017;6;2017;No definido;No definido;No definido;Arica;14-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0442;01 Arica;NULL;16-06-2017;6;2017;No definido;No definido;No definido;Arica;14-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0443;01 Arica;NULL;22-06-2017;6;2017;20-06-2017 0:00;2017;6;Arica;19-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0444;01 Arica;NULL;22-06-2017;6;2017;21-06-2017 0:00;2017;6;Arica;14-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0445;01 Arica;CBQA0445, ;10-07-2017;7;2017;24-06-2017 0:00;2017;6;Arica;04-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0446;01 Arica;NULL;10-07-2017;7;2017;No definido;No definido;No definido;Arica;01-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0447;01 Arica;NULL;10-07-2017;7;2017;No definido;No definido;No definido;Arica;01-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0448;01 Arica;NULL;10-07-2017;7;2017;No definido;No definido;No definido;Arica;01-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0449;01 Arica;NULL;10-07-2017;7;2017;No definido;No definido;No definido;Arica;01-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0450;01 Arica;CBQA0450, ;10-07-2017;7;2017;01-07-2017 0:00;2017;7;Arica;07-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0451;01 Arica;CBQA0451, ;10-07-2017;7;2017;01-07-2017 0:00;2017;7;Arica;07-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0452;01 Arica;NULL;10-07-2017;7;2017;02-07-2017 0:00;2017;7;Arica;03-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0453;01 Arica;NULL;10-07-2017;7;2017;No definido;No definido;No definido;Arica;03-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0454;01 Arica;CBQA0454, CBQA0454, ;10-07-2017;7;2017;07-07-2017 0:00;2017;7;Arica;07-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0455;01 Arica;CBQA0455, ;19-07-2017;7;2017;16-07-2017 0:00;2017;7;Arica;31-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0456;01 Arica;CBQA0456, ;19-07-2017;7;2017;18-07-2017 0:00;2017;7;Arica;04-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0457;01 Arica;NULL;19-07-2017;7;2017;16-07-2017 0:00;2017;7;Arica;03-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0458;01 Arica;CBQA0458, ;20-07-2017;7;2017;19-07-2017 0:00;2017;7;Arica;02-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0459;01 Arica;NULL;27-07-2017;7;2017;23-07-2017 0:00;2017;7;Arica;01-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0460;01 Arica;NULL;27-07-2017;7;2017;24-07-2017 0:00;2017;7;Arica;27-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0461;01 Arica;NULL;27-07-2017;7;2017;No definido;No definido;No definido;Arica;27-07-2017;2017;7;XV Región de Arica y Parinacota;2017
CBQA0462;01 Arica;CBQA0462, ;27-07-2017;7;2017;No definido;No definido;No definido;Arica;02-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0463;01 Arica;CBQA0463, ;31-07-2017;7;2017;No definido;No definido;No definido;Arica;07-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0464;01 Arica;CBQA0464, ;04-08-2017;8;2017;No definido;No definido;No definido;Arica;10-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0465;01 Arica;CBQA0465, ;09-08-2017;8;2017;No definido;No definido;No definido;Arica;10-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0466;01 Arica;NULL;10-08-2017;8;2017;No definido;No definido;No definido;Arica;22-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0467;01 Arica;NULL;24-08-2017;8;2017;No definido;No definido;No definido;Arica;04-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0468;01 Arica;NULL;24-08-2017;8;2017;No definido;No definido;No definido;Arica;25-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0469;01 Arica;NULL;29-08-2017;8;2017;No definido;No definido;No definido;Arica;04-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0470;01 Arica;NULL;29-08-2017;8;2017;No definido;No definido;No definido;Arica;30-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0471;01 Arica;NULL;29-08-2017;8;2017;No definido;No definido;No definido;Arica;30-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0472;01 Arica;NULL;29-08-2017;8;2017;26-08-2017 0:00;2017;8;Arica;04-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0473;01 Arica;NULL;29-08-2017;8;2017;26-08-2017 0:00;2017;8;Arica;04-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0474;01 Arica;NULL;29-08-2017;8;2017;No definido;No definido;No definido;General Lagos;30-08-2017;2017;8;XV Región de Arica y Parinacota;2017
CBQA0475;01 Arica;NULL;29-08-2017;8;2017;No definido;No definido;No definido;Arica;07-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0476;01 Arica;NULL;07-09-2017;9;2017;01-09-2017 0:00;2017;9;Arica;20-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0477;01 Arica;NULL;07-09-2017;9;2017;No definido;No definido;No definido;Arica;20-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0478;01 Arica;NULL;07-09-2017;9;2017;02-09-2017 0:00;2017;9;Arica;07-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0479;01 Arica;CBQA0479, ;11-09-2017;9;2017;10-09-2017 0:00;2017;9;Arica;25-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0480;01 Arica;CBQA0480, ;20-09-2017;9;2017;07-09-2017 0:00;2017;9;Arica;12-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0481;01 Arica;NULL;20-09-2017;9;2017;No definido;No definido;No definido;Arica;29-09-2017;2017;9;XV Región de Arica y Parinacota;2017
CBQA0482;01 Arica;NULL;20-09-2017;9;2017;17-09-2017 0:00;2017;9;Arica;02-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0483;01 Arica;NULL;22-09-2017;9;2017;21-09-2017 0:00;2017;9;Arica;02-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0484;01 Arica;NULL;02-10-2017;10;2017;No definido;No definido;No definido;Arica;02-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0485;01 Arica;NULL;02-10-2017;10;2017;No definido;No definido;No definido;Arica;02-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0486;01 Arica;NULL;02-10-2017;10;2017;27-09-2017 0:00;2017;9;Arica;12-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0487;01 Arica;CBQA0487, ;16-10-2017;10;2017;No definido;No definido;No definido;Arica;30-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0488;01 Arica;NULL;16-10-2017;10;2017;14-10-2017 0:00;2017;10;Arica;23-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0489;01 Arica;NULL;16-10-2017;10;2017;No definido;No definido;No definido;Arica;23-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0490;01 Arica;NULL;18-10-2017;10;2017;No definido;No definido;No definido;Arica;26-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0491;01 Arica;NULL;18-10-2017;10;2017;No definido;No definido;No definido;Arica;26-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0492;01 Arica;CBQA0492, ;18-10-2017;10;2017;No definido;No definido;No definido;Arica;31-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0493;01 Arica;CBQA0493, CBQA0493, CBQA0493, CBQA0493, ;19-10-2017;10;2017;17-10-2017 0:00;2017;10;Arica;26-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0494;01 Arica;CBQA0494, ;26-10-2017;10;2017;22-10-2017 0:00;2017;10;Arica;06-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0495;01 Arica;CBQA0495, ;26-10-2017;10;2017;22-10-2017 0:00;2017;10;Arica;06-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0496;01 Arica;CBQA0496, ;26-10-2017;10;2017;No definido;No definido;No definido;Arica;13-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0497;01 Arica;CBQA0497, ;26-10-2017;10;2017;21-10-2017 0:00;2017;10;Arica;06-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0498;01 Arica;NULL;26-10-2017;10;2017;No definido;No definido;No definido;Arica;26-10-2017;2017;10;XV Región de Arica y Parinacota;2017
CBQA0499;01 Arica;CBQA0499, CBQA0499, ;31-10-2017;10;2017;No definido;No definido;No definido;Arica;13-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0500;01 Arica;NULL;31-10-2017;10;2017;No definido;No definido;No definido;Arica;13-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0501;01 Arica;CBQA0501, ;13-11-2017;11;2017;No definido;No definido;No definido;Arica;27-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0502;01 Arica;CBQA0502, ;13-11-2017;11;2017;No definido;No definido;No definido;Arica;27-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0503;01 Arica;CBQA0503, ;13-11-2017;11;2017;No definido;No definido;No definido;Arica;17-11-2017;2017;11;XV Región de Arica y Parinacota;2017
CBQA0504;01 Arica;NULL;27-11-2017;11;2017;No definido;No definido;No definido;Arica;11-12-2017;2017;12;XV Región de Arica y Parinacota;2017
CBQA0505;01 Arica;NULL;28-11-2017;11;2017;25-11-2017 0:00;2017;11;Arica;03-01-2018;2018;1;XV Región de Arica y Parinacota;2017
CBQA0506;01 Arica;CBQA0506, ;28-11-2017;11;2017;25-11-2017 0:00;2017;11;Arica;21-02-2018;2018;2;XV Región de Arica y Parinacota;2017
CBQA0507;01 Arica;NULL;30-11-2017;11;2017;28-11-2017 0:00;2017;11;Arica;05-12-2017;2017;12;XV Región de Arica y Parinacota;2017
CBQA0508;01 Arica;NULL;01-12-2017;12;2017;28-11-2017 0:00;2017;11;Arica;27-12-2017;2017;12;XV Región de Arica y Parinacota;2017
CBQA0509;01 Arica;CBQA0509, ;04-12-2017;12;2017;02-12-2017 0:00;2017;12;Arica;02-01-2018;2018;1;XV Región de Arica y Parinacota;2017
CBQA0510;01 Arica;NULL;07-12-2017;12;2017;05-12-2017 0:00;2017;12;Arica;20-12-2017;2017;12;XV Región de Arica y Parinacota;2017
CBQA0511;01 Arica;NULL;18-12-2017;12;2017;No definido;No definido;No definido;Arica;27-12-2017;2017;12;XV Región de Arica y Parinacota;2017
CBQA0512;01 Arica;NULL;18-12-2017;12;2017;No definido;No definido;No definido;Arica;27-12-2017;2017;12;XV Región de Arica y Parinacota;2017
CBQA0513;01 Arica;CBQA0513, ;18-12-2017;12;2017;No definido;No definido;No definido;Arica;04-01-2018;2018;1;XV Región de Arica y Parinacota;2017
CBQA0514;01 Arica;NULL;02-01-2018;1;2018;No definido;No definido;No definido;Arica;03-01-2018;2018;1;XV Región de Arica y Parinacota;2018
CBQA0515;01 Arica;NULL;02-01-2018;1;2018;30-01-2017 0:00;2017;1;Arica;03-01-2018;2018;1;XV Región de Arica y Parinacota;2018
CBQA0516;01 Arica;NULL;02-01-2018;1;2018;01-01-2018 0:00;2018;1;Arica;03-01-2018;2018;1;XV Región de Arica y Parinacota;2018
