Expediente Caso;Expediente Víctima;CAVD;Comuna Delito;Fecha Ingreso;Mes Ingreso;Año Ingreso;Fecha Finalización;Mes Finalización;Año Finalización
NULL;VIR18869;39 Temuco;Coihueco;02-10-2015;10;2015;04-10-2015;10;2015
NULL;VIR18919;39 Temuco;San Bernardo;01-09-2015;9;2015;03-09-2015;9;2015
NULL;VIR18936;39 Temuco;La Cisterna;08-10-2015;10;2015;10-10-2015;10;2015
NULL;VIR18937;39 Temuco;Santiago;08-10-2015;10;2015;10-10-2015;10;2015
NULL;VIR18998;39 Temuco;Puerto Montt;13-10-2015;10;2015;15-10-2015;10;2015
NULL;VIR18999;39 Temuco;Peñalolén;07-09-2015;9;2015;09-09-2015;9;2015
NULL;VIR19143;39 Temuco;Longaví;15-09-2015;9;2015;17-09-2015;9;2015
NULL;VIR19188;39 Temuco;San Bernardo;22-10-2015;10;2015;24-10-2015;10;2015
NULL;VIR19204;39 Temuco;Valparaíso;27-10-2015;10;2015;29-10-2015;10;2015
NULL;VIR19212;39 Temuco;Santiago;27-10-2015;10;2015;29-10-2015;10;2015
NULL;VIR19226;39 Temuco;Alto Hospicio;26-10-2015;10;2015;28-10-2015;10;2015
NULL;VIR19268;39 Temuco;Santiago;02-11-2015;11;2015;04-11-2015;11;2015
NULL;VIR19295;39 Temuco;Pudahuel;05-11-2015;11;2015;07-11-2015;11;2015
NULL;VIR19296;39 Temuco;Maipú;09-11-2015;11;2015;11-11-2015;11;2015
NULL;VIR19310;39 Temuco;San Bernardo;05-11-2015;11;2015;07-11-2015;11;2015
NULL;VIR19364;39 Temuco;Viña del Mar;27-10-2015;10;2015;29-10-2015;10;2015
NULL;VIR19374;39 Temuco;Santiago;17-11-2015;11;2015;19-11-2015;11;2015
NULL;VIR19376;39 Temuco;Valparaíso;30-09-2015;9;2015;02-10-2015;10;2015
NULL;VIR19402;39 Temuco;Graneros;17-11-2015;11;2015;19-11-2015;11;2015
NULL;VIR19403;39 Temuco;Linares;20-11-2015;11;2015;22-11-2015;11;2015
NULL;VIR19435;39 Temuco;Maipú;07-10-2015;10;2015;09-10-2015;10;2015
NULL;VIR19467;39 Temuco;Santiago;10-11-2015;11;2015;12-11-2015;11;2015
NULL;VIR19485;39 Temuco;Padre las Casas;01-12-2015;12;2015;03-12-2015;12;2015
NULL;VIR19486;39 Temuco;Coquimbo;01-12-2015;12;2015;03-12-2015;12;2015
NULL;VIR19487;39 Temuco;Santiago;30-10-2015;10;2015;01-11-2015;11;2015
NULL;VIR19513;39 Temuco;Concon;23-11-2015;11;2015;25-11-2015;11;2015
NULL;VIR19545;39 Temuco;Saavedra;11-12-2015;12;2015;13-12-2015;12;2015
NULL;VIR19548;39 Temuco;Treguaco;10-12-2015;12;2015;12-12-2015;12;2015
NULL;VIR19549;39 Temuco;Chanco;11-12-2015;12;2015;13-12-2015;12;2015
NULL;VIR19552;39 Temuco;Santiago;22-09-2015;9;2015;24-09-2015;9;2015
NULL;VIR19576;39 Temuco;Punta Arenas;17-12-2015;12;2015;19-12-2015;12;2015
NULL;VIR19577;39 Temuco;Punta Arenas;17-12-2015;12;2015;19-12-2015;12;2015
NULL;VIR19592;39 Temuco;Las Condes;07-12-2015;12;2015;09-12-2015;12;2015
