N°;Fecha Recepción;Comuna Ocurrencia;Fecha Finalización;Tipo de Finalización
481785;31-12-2021;-;01-01-2022;Egreso (Orientación Entregada)
481786;31-12-2021;-;01-01-2022;Egreso (Difusión)
481789;31-12-2021;-;01-01-2022;Contacto con terceros
481798;01-01-2022;Santiago;01-01-2022;Egreso (Orientación Entregada)
481799;01-01-2022;Lampa;01-01-2022;Egreso (Orientación Entregada)
481800;01-01-2022;-;01-01-2022;Egreso (Orientación Entregada)
481804;01-01-2022;-;01-01-2022;Egreso (Orientación Entregada)
481805;01-01-2022;-;01-01-2022;Egreso (Orientación Entregada)
481788;31-12-2021;-;02-01-2022;Egreso (Orientación Entregada)
481790;31-12-2021;El Bosque;02-01-2022;Egreso (Orientación Entregada)
481802;02-01-2022;-;02-01-2022;Egreso (Orientación Entregada)
481803;02-01-2022;Chillán;02-01-2022;Egreso (Orientación Entregada)
481806;02-01-2022;Renca;02-01-2022;Egreso (Difusión)
481807;02-01-2022;Quilicura;02-01-2022;Egreso (Difusión)
481808;02-01-2022;Quilicura;02-01-2022;Contacto con terceros
481809;02-01-2022;Colina;02-01-2022;Egreso (Difusión)
481812;02-01-2022;Rancagua;02-01-2022;Egreso (Difusión)
481813;02-01-2022;Santiago;02-01-2022;Egreso (Orientación Entregada)
481818;02-01-2022;Maipú;02-01-2022;Egreso (Orientación Entregada)
481819;02-01-2022;Calera de Tango;02-01-2022;Egreso (Orientación Entregada)
481821;02-01-2022;San Bernardo;02-01-2022;Egreso (Orientación Entregada)
481822;02-01-2022;San Bernardo;02-01-2022;Egreso (Orientación Entregada)
481823;02-01-2022;Santiago;02-01-2022;Egreso (Orientación Entregada)
481824;02-01-2022;Quinta Normal;02-01-2022;Egreso (Orientación Entregada)
480949;24-12-2021;-;03-01-2022;Cierre sin contacto
481252;28-12-2021;-;03-01-2022;Cierre por proceso interrumpido
481265;28-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481266;28-12-2021;-;03-01-2022;Contacto con terceros
481267;28-12-2021;-;03-01-2022;Cierre sin contacto
481272;28-12-2021;-;03-01-2022;Cierre sin contacto
481311;28-12-2021;-;03-01-2022;Cierre sin contacto
481318;28-12-2021;-;03-01-2022;Cierre sin contacto
481369;28-12-2021;-;03-01-2022;Cierre sin contacto
481431;28-12-2021;-;03-01-2022;Cierre sin contacto
481501;29-12-2021;Macul;03-01-2022;Contacto con terceros
481502;29-12-2021;Recoleta;03-01-2022;Contacto con terceros
481508;29-12-2021;San Bernardo;03-01-2022;Cierre sin contacto
481518;29-12-2021;Recoleta;03-01-2022;Cierre sin contacto
481562;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481572;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481575;30-12-2021;-;03-01-2022;Egreso (Difusión)
481581;30-12-2021;-;03-01-2022;Contacto con terceros
481583;30-12-2021;-;03-01-2022;Egreso (Difusión)
481587;30-12-2021;-;03-01-2022;Egreso (Difusión)
481590;30-12-2021;-;03-01-2022;Cierre sin contacto
481592;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481593;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481595;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481596;30-12-2021;-;03-01-2022;Egreso (Difusión)
481597;30-12-2021;-;03-01-2022;Egreso (Difusión)
481600;30-12-2021;-;03-01-2022;Egreso (Difusión)
481611;30-12-2021;-;03-01-2022;Egreso (Difusión)
481632;30-12-2021;-;03-01-2022;Contacto con terceros
481661;30-12-2021;-;03-01-2022;Egreso (Difusión)
481663;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481668;30-12-2021;-;03-01-2022;Cierre por proceso interrumpido
481669;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481670;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481671;30-12-2021;-;03-01-2022;Cierre sin contacto
481673;30-12-2021;-;03-01-2022;Cierre sin contacto
481674;30-12-2021;-;03-01-2022;Egreso (Orientación Entregada)
481676;30-12-2021;-;03-01-2022;Cierre sin contacto
481680;30-12-2021;-;03-01-2022;Cierre sin contacto
481700;30-12-2021;Sin información;03-01-2022;Egreso (Difusión)
481702;30-12-2021;-;03-01-2022;Contacto con terceros
481703;30-12-2021;-;03-01-2022;Egreso (Difusión)
481707;30-12-2021;-;03-01-2022;Cierre sin contacto
481719;30-12-2021;Lo Espejo;03-01-2022;Egreso (Difusión)
481729;30-12-2021;Puente Alto;03-01-2022;Egreso (Orientación Entregada)
481738;30-12-2021;San Joaquín;03-01-2022;Derivación interna
481740;30-12-2021;Renca;03-01-2022;Egreso (Orientación Entregada)
481745;30-12-2021;Huechuraba;03-01-2022;Egreso (Orientación Entregada)
481761;31-12-2021;Santiago;03-01-2022;Cierre sin contacto
481765;31-12-2021;Huechuraba;03-01-2022;Contacto con terceros
481768;31-12-2021;Santiago;03-01-2022;Egreso (Orientación Entregada)
481775;31-12-2021;Peñalolén;03-01-2022;Egreso (Orientación Entregada)
481776;31-12-2021;Santiago;03-01-2022;Contacto con terceros
481777;31-12-2021;Peñalolén;03-01-2022;Contacto con terceros
481787;31-12-2021;-;03-01-2022;Contacto con terceros
481810;02-01-2022;Lampa;03-01-2022;Contacto con terceros
481811;02-01-2022;Lampa;03-01-2022;Egreso (Orientación Entregada)
481815;02-01-2022;Providencia;03-01-2022;Egreso (Orientación Entregada)
481816;03-01-2022;Maipú;03-01-2022;Egreso (Orientación Entregada)
481817;03-01-2022;Melipilla;03-01-2022;Contacto con terceros
481825;03-01-2022;-;03-01-2022;Egreso (Difusión)
481827;03-01-2022;-;03-01-2022;Egreso (Difusión)
481828;03-01-2022;-;03-01-2022;Contacto con terceros
481829;03-01-2022;-;03-01-2022;Egreso (Difusión)
481831;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481832;03-01-2022;-;03-01-2022;Contacto con terceros
481835;03-01-2022;-;03-01-2022;Egreso (Difusión)
481836;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481842;03-01-2022;-;03-01-2022;Egreso (Difusión)
481845;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481857;03-01-2022;-;03-01-2022;Contacto con terceros
481876;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481879;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481880;03-01-2022;-;03-01-2022;Egreso (Difusión)
481884;03-01-2022;-;03-01-2022;Contacto con terceros
481885;03-01-2022;-;03-01-2022;Egreso (Difusión)
481887;03-01-2022;Curicó;03-01-2022;Egreso (Orientación Entregada)
481889;03-01-2022;La Pintana;03-01-2022;Egreso (Orientación Entregada)
481912;03-01-2022;-;03-01-2022;Egreso (Difusión)
481915;03-01-2022;-;03-01-2022;Contacto con terceros
481919;03-01-2022;-;03-01-2022;Cierre sin contacto
481921;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481950;03-01-2022;-;03-01-2022;Derivación interna
481954;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481955;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
481956;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482041;03-01-2022;-;03-01-2022;Cierre sin contacto
482042;03-01-2022;-;03-01-2022;Egreso (Difusión)
482043;03-01-2022;-;03-01-2022;Contacto con terceros
482048;03-01-2022;-;03-01-2022;Egreso (Difusión)
482049;03-01-2022;-;03-01-2022;Contacto con terceros
482050;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482052;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482053;03-01-2022;-;03-01-2022;Egreso (Difusión)
482056;03-01-2022;-;03-01-2022;Contacto con terceros
482058;03-01-2022;-;03-01-2022;Egreso (Difusión)
482060;03-01-2022;-;03-01-2022;Egreso (Difusión)
482064;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482065;03-01-2022;-;03-01-2022;Egreso (Difusión)
482068;03-01-2022;-;03-01-2022;Egreso (Difusión)
482071;03-01-2022;Rancagua;03-01-2022;Egreso (Difusión)
482072;03-01-2022;-;03-01-2022;Egreso (Difusión)
482073;03-01-2022;-;03-01-2022;Contacto con terceros
482074;03-01-2022;-;03-01-2022;Egreso (Difusión)
482076;03-01-2022;-;03-01-2022;Cierre por proceso interrumpido
482077;03-01-2022;-;03-01-2022;Egreso (Difusión)
482078;03-01-2022;-;03-01-2022;Derivación interna
482098;03-01-2022;-;03-01-2022;Contacto con terceros
482099;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482123;03-01-2022;-;03-01-2022;Egreso (Difusión)
482130;03-01-2022;-;03-01-2022;Egreso (Difusión)
482131;03-01-2022;-;03-01-2022;Egreso (Difusión)
482134;03-01-2022;-;03-01-2022;Contacto con terceros
482139;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482140;03-01-2022;-;03-01-2022;Cierre sin contacto
482144;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482151;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482152;03-01-2022;Puente Alto;03-01-2022;Egreso (Difusión)
482154;03-01-2022;Providencia;03-01-2022;Egreso (Orientación Entregada)
482157;03-01-2022;Independencia;03-01-2022;Egreso (Difusión)
482158;03-01-2022;Independencia;03-01-2022;Egreso (Orientación Entregada)
482163;03-01-2022;Antofagasta;03-01-2022;Egreso (Difusión)
482164;03-01-2022;-;03-01-2022;Egreso (Difusión)
482165;03-01-2022;Arica;03-01-2022;Egreso (Orientación Entregada)
482166;03-01-2022;-;03-01-2022;Egreso (Difusión)
482169;03-01-2022;Los Andes;03-01-2022;Egreso (Orientación Entregada)
482170;03-01-2022;La Cisterna;03-01-2022;Egreso (Orientación Entregada)
482171;03-01-2022;-;03-01-2022;Cierre sin contacto
482185;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482191;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482193;03-01-2022;-;03-01-2022;Contacto con terceros
482195;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482197;03-01-2022;-;03-01-2022;Contacto con terceros
482198;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482200;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482201;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482207;03-01-2022;-;03-01-2022;Egreso (Difusión)
482211;03-01-2022;-;03-01-2022;Egreso (Difusión)
482212;03-01-2022;-;03-01-2022;Egreso (Difusión)
482218;03-01-2022;-;03-01-2022;Contacto con terceros
482219;03-01-2022;-;03-01-2022;Egreso (Difusión)
482220;03-01-2022;-;03-01-2022;Contacto con terceros
482221;03-01-2022;-;03-01-2022;Egreso (Difusión)
482224;03-01-2022;-;03-01-2022;Egreso (Difusión)
482230;03-01-2022;-;03-01-2022;Egreso (Difusión)
482231;03-01-2022;-;03-01-2022;Egreso (Difusión)
482233;03-01-2022;-;03-01-2022;Contacto con terceros
482236;03-01-2022;La Cisterna;03-01-2022;Egreso (Difusión)
482240;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482241;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482242;03-01-2022;La Pintana;03-01-2022;Egreso (Orientación Entregada)
482243;03-01-2022;La Pintana;03-01-2022;Contacto con terceros
482244;03-01-2022;-;03-01-2022;Egreso (Difusión)
482245;03-01-2022;Castro;03-01-2022;Derivación interna
482246;03-01-2022;-;03-01-2022;Egreso (Difusión)
482247;03-01-2022;Paine;03-01-2022;Egreso (Orientación Entregada)
482254;03-01-2022;-;03-01-2022;Egreso (Orientación Entregada)
482261;03-01-2022;La Florida;03-01-2022;Egreso (Orientación Entregada)
482263;03-01-2022;San Bernardo;03-01-2022;Derivación interna
482268;03-01-2022;Recoleta;03-01-2022;Egreso (Orientación Entregada)
482269;03-01-2022;Ñuñoa;03-01-2022;Egreso (Orientación Entregada)
482271;03-01-2022;Santiago;03-01-2022;Egreso (Orientación Entregada)
482293;03-01-2022;San Miguel;03-01-2022;Egreso (Orientación Entregada)
481263;28-12-2021;-;04-01-2022;Cierre sin contacto
481525;29-12-2021;-;04-01-2022;Cierre sin contacto
481526;29-12-2021;-;04-01-2022;Cierre sin contacto
481570;30-12-2021;-;04-01-2022;Cierre sin contacto
481576;30-12-2021;Puerto Montt;04-01-2022;Egreso (Orientación Entregada)
481582;30-12-2021;-;04-01-2022;Cierre sin contacto
481594;30-12-2021;-;04-01-2022;Cierre sin contacto
481598;30-12-2021;-;04-01-2022;Cierre sin contacto
481601;30-12-2021;-;04-01-2022;Egreso (Difusión)
481602;30-12-2021;-;04-01-2022;Egreso (Difusión)
481603;30-12-2021;-;04-01-2022;Cierre sin contacto
481604;30-12-2021;-;04-01-2022;Cierre sin contacto
481607;30-12-2021;-;04-01-2022;Cierre sin contacto
481608;30-12-2021;-;04-01-2022;Cierre sin contacto
481610;30-12-2021;-;04-01-2022;Cierre sin contacto
481612;30-12-2021;-;04-01-2022;Cierre sin contacto
481615;30-12-2021;-;04-01-2022;Contacto con terceros
481617;30-12-2021;-;04-01-2022;Egreso (Orientación Entregada)
481633;30-12-2021;-;04-01-2022;Contacto con terceros
481641;30-12-2021;-;04-01-2022;Egreso (Orientación Entregada)
481642;30-12-2021;-;04-01-2022;Egreso (Difusión)
481643;30-12-2021;-;04-01-2022;Contacto con terceros
481644;30-12-2021;-;04-01-2022;Egreso (Difusión)
481711;30-12-2021;-;04-01-2022;Cierre sin contacto
481712;30-12-2021;-;04-01-2022;Cierre sin contacto
481723;30-12-2021;-;04-01-2022;Rechaza orientación
481724;30-12-2021;-;04-01-2022;Egreso (Difusión)
481727;30-12-2021;Cerro Navia;04-01-2022;Contacto con terceros
481733;29-12-2021;San Bernardo;04-01-2022;Cierre sin contacto
481734;30-12-2021;San Bernardo;04-01-2022;Cierre sin contacto
481735;30-12-2021;Maipú;04-01-2022;Contacto con terceros
481739;30-12-2021;-;04-01-2022;Derivación interna
481769;31-12-2021;Maipú;04-01-2022;Egreso (Orientación Entregada)
481771;30-12-2021;-;04-01-2022;Egreso (Orientación Entregada)
481773;31-12-2021;Santiago;04-01-2022;Egreso (Orientación Entregada)
481781;31-12-2021;Recoleta;04-01-2022;Contacto con terceros
481814;02-01-2022;San Pedro;04-01-2022;Egreso (Orientación Entregada)
481837;03-01-2022;-;04-01-2022;Rechaza orientación
481838;03-01-2022;-;04-01-2022;Rechaza orientación
481839;03-01-2022;Valparaíso;04-01-2022;Egreso (Orientación Entregada)
481840;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481848;03-01-2022;-;04-01-2022;Contacto con terceros
481850;03-01-2022;-;04-01-2022;Egreso (Difusión)
481854;03-01-2022;-;04-01-2022;Contacto con terceros
481863;03-01-2022;-;04-01-2022;Egreso (Difusión)
481864;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481866;03-01-2022;-;04-01-2022;Cierre sin contacto
481872;03-01-2022;-;04-01-2022;Egreso (Difusión)
481877;03-01-2022;-;04-01-2022;Contacto con terceros
481878;03-01-2022;-;04-01-2022;Egreso (Difusión)
481881;03-01-2022;San Javier;04-01-2022;Egreso (Difusión)
481883;03-01-2022;-;04-01-2022;Contacto con terceros
481892;03-01-2022;-;04-01-2022;Contacto con terceros
481893;03-01-2022;-;04-01-2022;Egreso (Difusión)
481896;03-01-2022;-;04-01-2022;Egreso (Difusión)
481898;03-01-2022;-;04-01-2022;Cierre sin contacto
481899;03-01-2022;-;04-01-2022;Cierre sin contacto
481903;03-01-2022;-;04-01-2022;Contacto con terceros
481904;03-01-2022;-;04-01-2022;Egreso (Difusión)
481905;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481906;03-01-2022;-;04-01-2022;Cierre sin contacto
481909;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481910;03-01-2022;-;04-01-2022;Egreso (Difusión)
481911;03-01-2022;-;04-01-2022;Egreso (Difusión)
481913;03-01-2022;-;04-01-2022;Egreso (Difusión)
481914;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481920;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481929;03-01-2022;-;04-01-2022;Rechaza orientación
481936;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481947;03-01-2022;-;04-01-2022;Cierre sin contacto
481952;03-01-2022;-;04-01-2022;Rechaza orientación
481953;03-01-2022;-;04-01-2022;Cierre sin contacto
481957;03-01-2022;-;04-01-2022;Cierre sin contacto
481958;03-01-2022;-;04-01-2022;Cierre sin contacto
481966;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481987;03-01-2022;Los Andes;04-01-2022;Egreso (Difusión)
481989;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
481990;03-01-2022;-;04-01-2022;Egreso (Difusión)
481991;03-01-2022;-;04-01-2022;Contacto con terceros
481992;03-01-2022;-;04-01-2022;Egreso (Difusión)
481995;03-01-2022;-;04-01-2022;Egreso (Difusión)
481997;03-01-2022;-;04-01-2022;Egreso (Difusión)
482001;03-01-2022;-;04-01-2022;Egreso (Difusión)
482005;03-01-2022;Arica;04-01-2022;Egreso (Difusión)
482006;03-01-2022;-;04-01-2022;Egreso (Difusión)
482015;03-01-2022;-;04-01-2022;Contacto con terceros
482016;03-01-2022;-;04-01-2022;Egreso (Difusión)
482017;03-01-2022;-;04-01-2022;Contacto con terceros
482020;03-01-2022;Copiapó;04-01-2022;Egreso (Orientación Entregada)
482021;03-01-2022;-;04-01-2022;Egreso (Difusión)
482022;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482023;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482024;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482025;03-01-2022;La Cisterna;04-01-2022;Contacto con terceros
482026;03-01-2022;Angol;04-01-2022;Egreso (Orientación Entregada)
482027;03-01-2022;-;04-01-2022;Rechaza orientación
482028;03-01-2022;-;04-01-2022;Contacto con terceros
482033;03-01-2022;Antofagasta;04-01-2022;Egreso (Orientación Entregada)
482034;03-01-2022;-;04-01-2022;Contacto con terceros
482035;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482037;03-01-2022;-;04-01-2022;Contacto con terceros
482038;03-01-2022;-;04-01-2022;Egreso (Difusión)
482039;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482040;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482044;03-01-2022;-;04-01-2022;Cierre sin contacto
482046;03-01-2022;-;04-01-2022;Egreso (Difusión)
482047;03-01-2022;-;04-01-2022;Contacto con terceros
482059;03-01-2022;-;04-01-2022;Contacto con terceros
482061;03-01-2022;-;04-01-2022;Contacto con terceros
482062;03-01-2022;-;04-01-2022;Cierre sin contacto
482063;03-01-2022;-;04-01-2022;Cierre sin contacto
482066;03-01-2022;-;04-01-2022;Egreso (Difusión)
482069;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482070;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482075;03-01-2022;-;04-01-2022;Egreso (Difusión)
482079;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482081;03-01-2022;-;04-01-2022;Cierre sin contacto
482082;03-01-2022;-;04-01-2022;Cierre por proceso interrumpido
482083;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482084;03-01-2022;-;04-01-2022;Egreso (Difusión)
482085;03-01-2022;-;04-01-2022;Egreso (Difusión)
482086;03-01-2022;-;04-01-2022;Contacto con terceros
482087;03-01-2022;-;04-01-2022;Cierre por proceso interrumpido
482088;03-01-2022;-;04-01-2022;Egreso (Difusión)
482089;03-01-2022;-;04-01-2022;Contacto con terceros
482090;03-01-2022;-;04-01-2022;Egreso (Difusión)
482091;03-01-2022;-;04-01-2022;Rechaza orientación
482092;03-01-2022;-;04-01-2022;Egreso (Difusión)
482093;03-01-2022;-;04-01-2022;Egreso (Difusión)
482094;03-01-2022;-;04-01-2022;Egreso (Difusión)
482095;03-01-2022;-;04-01-2022;Contacto con terceros
482097;03-01-2022;-;04-01-2022;Cierre sin contacto
482104;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482105;03-01-2022;-;04-01-2022;Contacto con terceros
482124;03-01-2022;-;04-01-2022;Rechaza orientación
482127;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482129;03-01-2022;-;04-01-2022;Egreso (Difusión)
482138;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482147;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482156;03-01-2022;Arica;04-01-2022;Egreso (Orientación Entregada)
482159;03-01-2022;-;04-01-2022;Cierre sin contacto
482160;03-01-2022;San Ramón;04-01-2022;Egreso (Difusión)
482161;03-01-2022;-;04-01-2022;Cierre sin contacto
482162;03-01-2022;-;04-01-2022;Cierre sin contacto
482167;03-01-2022;-;04-01-2022;Contacto con terceros
482168;03-01-2022;-;04-01-2022;Cierre sin contacto
482172;03-01-2022;-;04-01-2022;Contacto con terceros
482173;03-01-2022;Recoleta;04-01-2022;Egreso (Orientación Entregada)
482174;03-01-2022;La Granja;04-01-2022;Egreso (Orientación Entregada)
482175;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482177;03-01-2022;Calama;04-01-2022;Egreso (Orientación Entregada)
482181;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482184;03-01-2022;-;04-01-2022;Cierre sin contacto
482186;03-01-2022;-;04-01-2022;Cierre sin contacto
482187;03-01-2022;-;04-01-2022;Cierre sin contacto
482192;03-01-2022;-;04-01-2022;Contacto con terceros
482199;03-01-2022;-;04-01-2022;Cierre sin contacto
482203;03-01-2022;-;04-01-2022;Cierre sin contacto
482204;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482205;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482208;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482209;03-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482213;03-01-2022;-;04-01-2022;Egreso (Difusión)
482214;03-01-2022;-;04-01-2022;Egreso (Difusión)
482216;03-01-2022;-;04-01-2022;Egreso (Difusión)
482217;03-01-2022;-;04-01-2022;Egreso (Difusión)
482223;03-01-2022;-;04-01-2022;Egreso (Difusión)
482228;03-01-2022;-;04-01-2022;Egreso (Difusión)
482232;03-01-2022;-;04-01-2022;Rechaza orientación
482250;03-01-2022;Maipú;04-01-2022;Cierre sin contacto
482251;03-01-2022;Huechuraba;04-01-2022;Cierre sin contacto
482252;03-01-2022;Maipú;04-01-2022;Egreso (Orientación Entregada)
482253;03-01-2022;-;04-01-2022;Contacto con terceros
482256;03-01-2022;La Pintana;04-01-2022;Egreso (Difusión)
482258;03-01-2022;Huechuraba;04-01-2022;Cierre sin contacto
482262;03-01-2022;Huechuraba;04-01-2022;Egreso (Orientación Entregada)
482264;04-01-2022;Quilicura;04-01-2022;Egreso (Orientación Entregada)
482267;04-01-2022;San Bernardo;04-01-2022;Egreso (Difusión)
482275;03-01-2022;Renca;04-01-2022;Egreso (Orientación Entregada)
482277;04-01-2022;La Reina;04-01-2022;Contacto con terceros
482279;04-01-2022;Maipú;04-01-2022;Egreso (Orientación Entregada)
482280;04-01-2022;Maipú;04-01-2022;Egreso (Orientación Entregada)
482281;04-01-2022;Maipú;04-01-2022;Egreso (Orientación Entregada)
482282;04-01-2022;Cerrillos;04-01-2022;Egreso (Orientación Entregada)
482283;04-01-2022;Lo Prado;04-01-2022;Egreso (Orientación Entregada)
482289;04-01-2022;Melipilla;04-01-2022;Egreso (Orientación Entregada)
482292;03-01-2022;Recoleta;04-01-2022;Egreso (Difusión)
482294;31-12-2021;Cerro Navia;04-01-2022;Cierre sin contacto
482298;04-01-2022;Ñuñoa;04-01-2022;Derivación interna
482299;04-01-2022;Quinta Normal;04-01-2022;Egreso (Difusión)
482300;04-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482304;03-01-2022;Melipilla;04-01-2022;Egreso (Difusión)
482305;04-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482306;04-01-2022;-;04-01-2022;Egreso (Orientación Entregada)
482326;04-01-2022;Santiago;04-01-2022;Egreso (Orientación Entregada)
482327;04-01-2022;Santiago;04-01-2022;Contacto con terceros
482328;04-01-2022;Santiago;04-01-2022;Contacto con terceros
482329;04-01-2022;Cerrillos;04-01-2022;Egreso (Difusión)
482332;04-01-2022;Macul;04-01-2022;Egreso (Orientación Entregada)
482333;04-01-2022;La Florida;04-01-2022;Contacto con terceros
482334;04-01-2022;La Florida;04-01-2022;Egreso (Orientación Entregada)
481312;28-12-2021;-;04-01-2022;Cierre Termino Plazo
481458;28-12-2021;Quilicura;04-01-2022;Cierre Termino Plazo
463591;21-07-2021;-;05-01-2022;Derivación interna
463930;23-07-2021;La Pintana;05-01-2022;Egreso (Orientación Entregada)
463943;23-07-2021;La Pintana;05-01-2022;Derivación interna
464246;27-07-2021;La Pintana;05-01-2022;Derivación interna
481584;30-12-2021;-;05-01-2022;Egreso (Difusión)
481616;30-12-2021;-;05-01-2022;Cierre sin contacto
481618;30-12-2021;-;05-01-2022;Cierre sin contacto
481619;30-12-2021;-;05-01-2022;Cierre sin contacto
481634;30-12-2021;-;05-01-2022;Cierre sin contacto
481637;30-12-2021;-;05-01-2022;Contacto con terceros
481645;30-12-2021;-;05-01-2022;Egreso (Difusión)
481646;30-12-2021;-;05-01-2022;Contacto con terceros
481657;30-12-2021;-;05-01-2022;Egreso (Orientación Entregada)
481696;30-12-2021;-;05-01-2022;Egreso (Difusión)
481697;30-12-2021;-;05-01-2022;Cierre sin contacto
481722;30-12-2021;-;05-01-2022;Egreso (Difusión)
481731;29-12-2021;-;05-01-2022;Derivación interna
481763;31-12-2021;Huechuraba;05-01-2022;Egreso (Orientación Entregada)
481764;31-12-2021;Huechuraba;05-01-2022;Egreso (Orientación Entregada)
481820;02-01-2022;Maipú;05-01-2022;Egreso (Difusión)
481830;03-01-2022;-;05-01-2022;Contacto con terceros
481833;03-01-2022;-;05-01-2022;Egreso (Difusión)
481834;03-01-2022;Curicó;05-01-2022;Egreso (Orientación Entregada)
481843;03-01-2022;-;05-01-2022;Egreso (Difusión)
481844;03-01-2022;-;05-01-2022;Contacto con terceros
481846;03-01-2022;-;05-01-2022;Egreso (Difusión)
481847;03-01-2022;-;05-01-2022;Egreso (Orientación Entregada)
481849;03-01-2022;-;05-01-2022;Cierre sin contacto
481851;03-01-2022;-;05-01-2022;Cierre sin contacto
481859;03-01-2022;-;05-01-2022;Egreso (Orientación Entregada)
481865;03-01-2022;-;05-01-2022;Egreso (Difusión)
481867;03-01-2022;-;05-01-2022;Cierre sin contacto
481869;03-01-2022;-;05-01-2022;Rechaza orientación
481870;03-01-2022;-;05-01-2022;Egreso (Difusión)
481871;03-01-2022;-;05-01-2022;Egreso (Difusión)
481873;03-01-2022;-;05-01-2022;Cierre sin contacto
481874;03-01-2022;-;05-01-2022;Cierre sin contacto
481875;03-01-2022;Arica;05-01-2022;Egreso (Difusión)
481882;03-01-2022;-;05-01-2022;Cierre sin contacto
481886;03-01-2022;-;05-01-2022;Cierre sin contacto
481888;03-01-2022;-;05-01-2022;Cierre por proceso interrumpido
481890;03-01-2022;-;05-01-2022;Cierre sin contacto
481894;03-01-2022;-;05-01-2022;Cierre sin contacto
481895;03-01-2022;-;05-01-2022;Cierre sin contacto
481897;03-01-2022;-;05-01-2022;Cierre sin contacto
481907;03-01-2022;-;05-01-2022;Cierre sin contacto
481908;03-01-2022;-;05-01-2022;Cierre sin contacto
481923;03-01-2022;-;05-01-2022;Cierre por proceso interrumpido
481959;03-01-2022;-;05-01-2022;Egreso (Difusión)
481960;03-01-2022;-;05-01-2022;Cierre sin contacto
